,0_deg,60_deg,90_deg,180_deg,240_deg,labels
0,0.31142292798239113,0.5589219338821427,0.36231539057443557,0.06591297228174918,0.08312965390618735,R
1,0.3802388497489122,0.020521573745041658,0.33915246689014833,0.47963797853957607,0.1259748724643038,R
2,0.7912202668960544,0.6099402167262128,0.8527540139016097,0.6005551064599274,0.5588974573337366,M
3,0.6425366708881382,0.7488825588133001,0.9799364190338276,0.837265667995355,0.982477414835651,M
4,0.4179854029304248,0.34793817947306327,0.2538468183540556,0.45923020173835316,0.04250676240379598,R
5,0.1677775124127085,0.5186616729007023,0.43610392179927626,0.4926317413007279,0.1072493295544893,R
6,0.4700886871943654,0.6927308496771984,0.7088244614311809,0.43741025315833343,0.9213868649760626,M
7,0.18865658632843318,0.20444602422378289,0.4087230885651001,0.26976786600047237,0.18989310291994962,R
8,0.3116152149984021,0.10587583855476107,0.052265702386019366,0.4422637799154125,0.2623097494150604,R
9,0.9577107734635224,0.5031367301810205,0.5589593850976516,0.7457402072428196,0.5406760789520987,M
10,0.5486019953576688,0.6392800693643769,0.6971627648822588,0.47805396766097424,0.7836408239497227,M
11,0.5997233069181556,0.6476502984409896,0.9542183656135281,0.9421220729231925,0.45773025905009546,M
12,0.6419434670557366,0.6202258535671552,0.596807764469176,0.4345065587303719,0.5366999373715013,M
13,0.9919966325924419,0.7599836558435968,0.7837074025382201,0.6351103524339868,0.5633441967671986,M
14,0.5159433957231174,0.14436134172657938,0.05008690836840137,0.0037367479110839708,0.13630440968620663,R
15,0.06308844287871233,0.37386093900543954,0.4262995574473536,0.11669047476420971,0.060401059178685164,R
16,0.482081943872801,0.6718991498830191,0.7324331844400287,0.9427166774458327,0.9867314360464958,M
17,0.4145798986120084,0.017483441024874622,0.2623311772583925,0.44361264715775683,0.5708653206572007,R
18,0.14449910149062728,0.04658601265306956,0.28877609528621145,0.13144642773432944,0.12073864964961137,R
19,0.8393344500337325,0.9601991951186111,0.9224802671195971,0.5858909286921409,0.5145391710141966,M
20,0.3494522211590481,0.43791308735729073,0.16724490146302687,0.09245499074019153,0.05338362741038079,R
21,0.8892037754422899,0.5865785321693223,0.7667728625507438,0.7169763112043561,0.7582966801738966,M
22,0.4052345309698823,0.06169432982450423,0.27774631401523103,0.5105236558686035,0.08405840712856859,R
23,0.683876970672916,0.605008950039573,0.921419671377967,0.42891041682495384,0.6520825643949852,M
24,0.4167500457794317,0.6179371691257323,0.6251541049184092,0.6879262394930568,0.6382736044881369,M
25,0.18666290315519918,0.4733160919016058,0.3636260476206063,0.4495374634656902,0.18066099984374473,R
26,0.0866019897335419,0.18459928048947602,0.4636069776443124,0.09085553261743715,0.32411400690058323,R
27,0.11190850180829726,0.23572660154266162,0.02432396809558884,0.11685453756758642,0.4011705339674591,R
28,0.7178384995914081,0.9177249444472175,0.5256257662174106,0.7758225046003087,0.5227802820218095,M
29,0.4761438274494302,0.6977455318020198,0.8064558438990143,0.9140653625169206,0.4731450097976011,M
30,0.283544065267057,0.1174619408687312,0.49043048100013426,0.5371357634344497,0.1387550320045694,R
31,0.333585885000969,0.11800263895834966,0.01480061010696271,0.4029683203129686,0.0953271502985205,R
32,0.41004736724198515,0.07271836219745773,0.4478987598328189,0.20099500515848095,0.49158039097209894,R
33,0.9954073777390948,0.95486393203089,0.532708349211243,0.7069968163998237,0.917616637972867,M
34,0.31275465127079055,0.09326940609418206,0.556425711165796,0.4489638919693856,0.21697469972507022,R
35,0.9507420426947404,0.6317649201033746,0.6684583930830921,0.43067528302556485,0.5177558699540488,M
36,0.3828050168872193,0.36941498422603947,0.318128156210295,0.40932574725915877,0.2312533123011312,R
37,0.42151003079558114,0.299411518233328,0.0225448736800866,0.3407566222453523,0.187478264507701,R
38,0.4909356346373721,0.4376823562960159,0.677092255787329,0.8686286566229834,0.6080462117213891,M
39,0.4025373419880948,0.2831723766741205,0.14767226884360368,0.5138410134117823,0.450033487941381,R
40,0.5643089915514122,0.5057385305585533,0.9303425372283343,0.7449767626029785,0.9915765438093571,M
41,0.11563123372311156,0.46310316255002604,0.3746667586035694,0.0017503704752882012,0.0419379216867262,R
42,0.10629289140759082,0.00031409151541480736,0.4826534089908067,0.0666663251449584,0.12820026159878006,R
43,0.22401059327769152,0.23494123660317903,0.4778231512541198,0.4913485468574224,0.24666836992670185,R
44,0.2714775769015965,0.01363265728497717,0.4034151363560869,0.13961102586731575,0.10001879323808623,R
45,0.9402097623735617,0.8523428878428183,0.5212454902040807,0.9724363409088144,0.45408587297456365,M
46,0.47589243170713935,0.5194622117337574,0.08505469489476299,0.11635614728602216,0.1549716733738804,R
47,0.2217905825753865,0.07989413116983794,0.14340509470006682,0.3842071338931359,0.4237745243994661,R
48,0.774713367272563,0.9945961392393436,0.954851065177061,0.8191340268345333,0.5467046986514734,M
49,0.05029825207165604,0.263501831033744,0.48931108116175925,0.5398478852715877,0.3919594265820359,R
50,0.27884819325233284,0.1822209690416893,0.537628523922029,0.26246291311550396,0.2938844274993383,R
51,0.3350340088049692,0.3827312328028729,0.2050249926540732,0.5655209178728731,0.021794294128070286,R
52,0.7306590818910238,0.5690925445057615,0.4731094393144547,0.6712122797986744,0.6075431642778417,M
53,0.5011312379478174,0.6071364385719236,0.6067320620033367,0.8003578820862609,0.9789989124567584,M
54,0.170602689872849,0.16640664362404706,0.02824507166178401,0.5560581879147272,0.02955885461938584,R
55,0.10070335877787906,0.2903715398834935,0.08583601514005716,0.34901982900587347,0.5448687184005515,R
56,0.19251903721782332,0.1996446110321452,0.023372624118805696,0.006803720064083105,0.10993652161906804,R

